coll_time_round,Date Time(RAW),RSRP_Wo_Round,mean_AvgRsrp,Downtime,Downtime(RAW),Coverage,Coverage(RAW),serial,sensor_distance
3/8/2024 16:00,45359.91667,-79.5833333333333 #,-79.5833,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 17:00,45359.95833,-70.0166666666667 #,-70.0167,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 17:00,45359.95833,-56.05 #,-56.05,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 17:00,45359.95833,-83.9 #,-83.9,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 17:00,45359.95833,-80 #,-80,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 17:00,45359.95833,-84.45 #,-84.45,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 17:00,45359.95833,-102.533333333333 #,-102.5333,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 17:00,45359.95833,-89.7833333333333 #,-89.7833,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 17:00,45359.95833,-79.9333333333333 #,-79.9333,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 17:00,45359.95833,-79.4833333333333 #,-79.4833,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 17:00,45359.95833,-92.0666666666667 #,-92.0667,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 17:00,45359.95833,-85.25 #,-85.25,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 17:00,45359.95833,-79.1666666666667 #,-79.1667,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 18:00,45360,-102.366666666667 #,-102.3667,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 18:00,45360,-79.2 #,-79.2,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 18:00,45360,-79.2833333333333 #,-79.2833,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 18:00,45360,-92.2 #,-92.2,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 18:00,45360,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 18:00,45360,-83.7333333333333 #,-83.7333,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 18:00,45360,-79.3333333333333 #,-79.3333,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 18:00,45360,-85.15 #,-85.15,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 18:00,45360,-56.0166666666667 #,-56.0167,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 18:00,45360,-79.8166666666667 #,-79.8167,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 18:00,45360,-84.15 #,-84.15,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 18:00,45360,-89.3166666666667 #,-89.3167,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 19:00,45360.04167,-102.55 #,-102.55,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 19:00,45360.04167,-79.0166666666667 #,-79.0167,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 19:00,45360.04167,-70 #,-70,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 19:00,45360.04167,-91.7833333333333 #,-91.7833,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 19:00,45360.04167,-84.0166666666667 #,-84.0167,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 19:00,45360.04167,-56 #,-56,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 19:00,45360.04167,-79.05 #,-79.05,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 19:00,45360.04167,-79.7666666666667 #,-79.7667,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 19:00,45360.04167,-89.25 #,-89.25,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 19:00,45360.04167,-78.9666666666667 #,-78.9667,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 19:00,45360.04167,-85 #,-85,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 19:00,45360.04167,-82.3333333333333 #,-82.3333,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 20:00,45360.08333,-78.6833333333333 #,-78.6833,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 20:00,45360.08333,-88.6666666666667 #,-88.6667,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 20:00,45360.08333,-79.1166666666667 #,-79.1167,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 20:00,45360.08333,-84.0666666666667 #,-84.0667,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 20:00,45360.08333,-79.8 #,-79.8,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 20:00,45360.08333,-82.7333333333333 #,-82.7333,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 20:00,45360.08333,-69.8833333333333 #,-69.8833,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 20:00,45360.08333,-91.35 #,-91.35,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 20:00,45360.08333,-55.9833333333333 #,-55.9833,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 20:00,45360.08333,-84.9833333333333 #,-84.9833,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 20:00,45360.08333,-79.0666666666667 #,-79.0667,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 20:00,45360.08333,-102.366666666667 #,-102.3667,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 21:00,45360.125,-78.9166666666667 #,-78.9167,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 21:00,45360.125,-79.9574468085106 #,-79.9574,20%,19.62,100%,10000,SN1001000878875,0.383627261
3/8/2024 21:00,45360.125,-88.8510638297872 #,-88.8511,19%,19.18,100%,10000,SN1001000878874,0.45706528
3/8/2024 21:00,45360.125,-91.3333333333333 #,-91.3333,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 21:00,45360.125,-84.8666666666667 #,-84.8667,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 21:00,45360.125,-102.4 #,-102.4,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 21:00,45360.125,-79.1333333333333 #,-79.1333,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 21:00,45360.125,-69.7708333333333 #,-69.7708,19%,19.04,100%,10000,SN1001000878868,0.229262629
3/8/2024 21:00,45360.125,-82.8541666666667 #,-82.8542,19%,18.85,100%,10000,SN1001000878869,0.322195995
3/8/2024 21:00,45360.125,-78.8958333333333 #,-78.8958,19%,18.68,100%,10000,SN1001000878871,0.394452002
3/8/2024 21:00,45360.125,-84.1333333333333 #,-84.1333,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 21:00,45360.125,-56.0166666666667 #,-56.0167,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 22:00,45360.16667,-69.8979591836735 #,-69.898,17%,17.39,100%,10000,SN1001000878868,0.229262629
3/8/2024 22:00,45360.16667,-91.3 #,-91.3,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 22:00,45360.16667,-79.3166666666667 #,-79.3167,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 22:00,45360.16667,-56 #,-56,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 22:00,45360.16667,-84.2166666666667 #,-84.2167,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 22:00,45360.16667,-78.7 #,-78.7,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 22:00,45360.16667,-89.18 #,-89.18,17%,17.25,100%,10000,SN1001000878874,0.45706528
3/8/2024 22:00,45360.16667,-84.8833333333333 #,-84.8833,0%,0,100%,10000,SN1001000878870,0.311663855
3/8/2024 22:00,45360.16667,-78.94 #,-78.94,16%,16.07,100%,10000,SN1001000878871,0.394452002
3/8/2024 22:00,45360.16667,-79.88 #,-79.88,15%,15.11,100%,10000,SN1001000878875,0.383627261
